600/600 [==============================] - 2s 3ms/step - loss: 0.0338 - accuracy: 0.9899 - val_loss: 0.0276, - val_accuracy: 0.9912
Epoch 43/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0320 - accuracy: 0.9903 - val_loss: 0.0244, - val_accuracy: 0.9930
Epoch 44/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0298 - accuracy: 0.9910 - val_loss: 0.0249, - val_accuracy: 0.9932
Epoch 45/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0290 - accuracy: 0.9914 - val_loss: 0.0265, - val_accuracy: 0.9924
Epoch 46/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0300 - accuracy: 0.9911 - val_loss: 0.0317, - val_accuracy: 0.9906
Epoch 47/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0285 - accuracy: 0.9917 - val_loss: 0.0288, - val_accuracy: 0.9912
Epoch 48/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0275 - accuracy: 0.9915 - val_loss: 0.0257, - val_accuracy: 0.9924
Epoch 49/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0299 - accuracy: 0.9909 - val_loss: 0.0253, - val_accuracy: 0.9922
Epoch 50/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0299 - accuracy: 0.9913 - val_loss: 0.0269, - val_accuracy: 0.9916
Epoch 51/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0271 - accuracy: 0.9916 - val_loss: 0.0300, - val_accuracy: 0.9910
Epoch 52/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0242 - accuracy: 0.9929 - val_loss: 0.0351, - val_accuracy: 0.9892
Epoch 53/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0278 - accuracy: 0.9916 - val_loss: 0.0307, - val_accuracy: 0.9914
Epoch 54/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0241 - accuracy: 0.9923 - val_loss: 0.0264, - val_accuracy: 0.9924
Epoch 55/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0240 - accuracy: 0.9929 - val_loss: 0.0273, - val_accuracy: 0.9916
Epoch 56/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0234 - accuracy: 0.9932 - val_loss: 0.0261, - val_accuracy: 0.9922
Epoch 57/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0232 - accuracy: 0.9935 - val_loss: 0.0281, - val_accuracy: 0.9918
Epoch 58/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0237 - accuracy: 0.9933 - val_loss: 0.0262, - val_accuracy: 0.9920
Epoch 59/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0230 - accuracy: 0.9930 - val_loss: 0.0274, - val_accuracy: 0.9916
Epoch 60/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0207 - accuracy: 0.9937 - val_loss: 0.0302, - val_accuracy: 0.9912
Epoch 61/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0216 - accuracy: 0.9938 - val_loss: 0.0342, - val_accuracy: 0.9908
Epoch 62/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0227 - accuracy: 0.9930 - val_loss: 0.0287, - val_accuracy: 0.9912
Epoch 63/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0211 - accuracy: 0.9940 - val_loss: 0.0269, - val_accuracy: 0.9916
Epoch 64/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0192 - accuracy: 0.9945 - val_loss: 0.0264, - val_accuracy: 0.9920
Epoch 65/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0211 - accuracy: 0.9942 - val_loss: 0.0263, - val_accuracy: 0.9924
Epoch 66/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0207 - accuracy: 0.9940 - val_loss: 0.0269, - val_accuracy: 0.9914
Epoch 67/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0201 - accuracy: 0.9947 - val_loss: 0.0274, - val_accuracy: 0.9928
Epoch 68/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0195 - accuracy: 0.9946 - val_loss: 0.0263, - val_accuracy: 0.9924
Epoch 69/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0184 - accuracy: 0.9953 - val_loss: 0.0261, - val_accuracy: 0.9922
Epoch 70/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0224 - accuracy: 0.9932 - val_loss: 0.0263, - val_accuracy: 0.9932
Epoch 71/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0175 - accuracy: 0.9950 - val_loss: 0.0266, - val_accuracy: 0.9932
Epoch 72/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0173 - accuracy: 0.9953 - val_loss: 0.0288, - val_accuracy: 0.9924
Epoch 73/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0175 - accuracy: 0.9947 - val_loss: 0.0302, - val_accuracy: 0.9916
Epoch 74/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0159 - accuracy: 0.9958 - val_loss: 0.0268, - val_accuracy: 0.9922
Epoch 75/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0172 - accuracy: 0.9952 - val_loss: 0.0307, - val_accuracy: 0.9922
Epoch 76/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0155 - accuracy: 0.9958 - val_loss: 0.0279, - val_accuracy: 0.9928
Epoch 77/100,
600/600 [==============================] - 2s 3ms/step - loss: 0.0158 - accuracy: 0.9953 - val_loss: 0.0288, - val_accuracy: 0.9926
Epoch 78/100,
